book_title,book_genre,book_rate,successfull_book,paperback,hardback,author,number_of_pages,book_length_mm,book_width_mm,book_depth_mm,book_weight_grams,publication_day,publication_month,publication_year,publisher,publication_city,publication_country,language,bestsellers_rank,price_nis
Autobiography of Red : A Novel in Verse,1,4.3,1,1,0,Anne Carson,160.0,202.0,131.0,11.0,147.0,1,8,1999,Random House USA Inc,New York,United States,1,7241,63.75
The Bride Test,1,3.88,0,1,0,Helen Hoang,336.0,198.0,129.0,19.0,226.0,6,6,2019,Atlantic Books,London,United Kingdom,1,1782,34.04
Transit,1,3.97,0,1,0,Rachel Cusk,272.0,198.0,129.0,16.0,230.0,7,6,2018,FABER & FABER,London,United Kingdom,1,21222,50.01
The Left Hand of Darkness,1,4.08,1,1,0,Ursula K. Le Guin,336.0,196.0,130.0,26.0,240.0,20,9,2018,Orion Publishing Co,London,United Kingdom,1,9905,45.22
Reputation : 'If Bridgerton and Fleabag had a book baby' Sarra Manning,1,3.99,0,1,0,Lex Croucher,448.0,198.0,129.0,25.0,326.0,8,7,2021,Bonnier Zaffre,United Kingdom,United Kingdom,1,1570,46.21
The Sound of Waves,1,3.78,0,1,0,Yukio Mishima,192.0,198.0,129.0,12.0,138.0,11,3,1999,Vintage Publishing,London,United Kingdom,1,11676,49.69
The Origin of Species,1,3.98,0,1,0,Charles Darwin,416.0,198.0,129.0,21.0,259.0,1,7,1999,Wordsworth Editions Ltd,Herts,United Kingdom,1,6459,36.37
Then She Was Gone : From the number one bestselling author of The Family Upstairs,1,4.05,1,1,0,Lisa Jewell,448.0,198.0,129.0,28.0,309.0,14,12,2017,Cornerstone,London,United Kingdom,1,5674,53.22
Casino Royale,1,3.75,0,1,0,Ian Fleming,256.0,198.0,129.0,16.0,181.0,6,9,2012,Vintage Publishing,London,United Kingdom,1,7324,53.68
The Heart Principle,1,4.07,1,1,0,Helen Hoang,304.0,198.0,129.0,24.0,252.0,2,9,2021,Atlantic Books,London,United Kingdom,1,1359,34.58
Dear John,1,4.03,1,1,0,Nicholas Sparks,352.0,173.0,108.0,24.0,168.0,1,12,2009,Time Warner Trade Publishing,New York,United States,1,6119,43.98
"Sharp Objects : A major HBO & Sky Atlantic Limited Series starring Amy Adams, from the director of BIG LITTLE LIES, Jean-Marc Vallee",1,3.99,0,1,0,Gillian Flynn,352.0,196.0,126.0,28.0,246.0,21,6,2018,Orion Publishing Co,London,United Kingdom,1,56875,45.35
The Time Keeper,1,3.87,0,1,0,Mitch Albom,256.0,176.0,109.0,18.0,140.0,15,5,2013,"Little, Brown Book Group",London,United Kingdom,1,6500,51.67
The Heart Of A Dog,1,4.1,1,1,0,Mikhail Bulgakov,144.0,198.0,129.0,8.0,106.0,2,4,2009,Vintage Publishing,London,United Kingdom,1,3773,33.2
The Prose Edda,1,4.16,1,1,0,Jesse Byock,224.0,198.0,129.0,13.0,168.0,31,1,2006,Penguin Books Ltd,London,United Kingdom,1,12053,53.41
One Hundred Years of Solitude,1,4.09,1,1,0,Gabriel Garcia Marquez,448.0,203.0,133.0,28.0,340.0,1,3,2006,HarperCollins Publishers Inc,New York,NY,1,2502,67.37
The Last Boyfriend,1,4.08,1,1,0,Nora Roberts,352.0,208.0,142.0,23.0,335.0,8,5,2012,Penguin Putnam Inc,New York,NY,1,76358,67.18
"Love, Rosie",1,3.94,0,1,0,Cecelia Ahern,512.0,172.0,109.0,34.0,245.0,1,12,2006,Hachette Books,New York,NY,1,68754,48.3
The Green Road,1,3.5,0,1,0,Anne Enright,320.0,198.0,129.0,20.0,224.0,14,1,2016,Vintage Publishing,London,United Kingdom,1,6327,51.47
No One Is Talking About This : Shortlisted for the Booker Prize 2021 and the Women's Prize for Fiction 2021,1,3.66,0,1,0,Patricia Lockwood,224.0,216.0,135.0,20.0,248.0,16,2,2021,Bloomsbury Publishing PLC,London,United Kingdom,1,6584,67.24
The Long Call : Now a major ITV series starring Ben Aldridge as Detective Matthew Venn,1,3.97,0,1,0,Ann Cleeves,400.0,197.0,130.0,27.0,283.0,20,2,2020,Pan Macmillan,London,United Kingdom,1,2257,46.17
The Woman Who Walked in Sunshine,1,4.07,1,1,0,Alexander McCall Smith,256.0,197.0,129.0,22.0,208.0,2,6,2016,"Little, Brown Book Group",London,United Kingdom,1,21318,38.48
The Ten Thousand Doors of January,1,4.06,1,1,0,Alix E. Harrow,432.0,196.0,124.0,32.0,295.0,23,6,2020,"Little, Brown Book Group",London,United Kingdom,1,1732,48.3
A Visit From the Goon Squad,1,3.67,0,1,0,Jennifer Egan,368.0,198.0,150.0,26.0,298.0,9,9,2017,"Little, Brown Book Group",London,United Kingdom,1,8504,46.75
A Clockwork Orange : Restored Edition,1,3.99,0,1,0,Anthony Burgess,352.0,181.0,111.0,20.0,222.0,5,12,2013,Penguin Books Ltd,London,United Kingdom,1,85711,51.42
Captivated By You,1,4.11,1,1,0,Sylvia Day,368.0,209.0,139.0,19.0,323.0,18,11,2014,Penguin Putnam Inc,United States,United States,1,10485,61.97
"Naruto: Itachi's Story, Vol. 1 : Daylight",1,4.48,1,1,0,Takashi Yano,180.0,191.0,127.0,20.0,152.0,17,11,2016,"Viz Media, Subs. of Shogakukan Inc",San Francisco,United States,1,3466,49.0
After Ever Happy,1,4.02,1,1,0,Anna Todd,512.0,198.0,130.0,38.0,372.0,15,7,2015,Simon & Schuster,New York,United States,1,3169,56.47
American Pastoral : The renowned Pulitzer Prize-Winning novel,1,3.92,0,1,0,Philip Roth,432.0,198.0,129.0,27.0,298.0,1,8,1998,Vintage Publishing,London,United Kingdom,1,17015,56.1
Inferno,1,4.0,1,1,0,Dante Alighieri,256.0,178.0,111.0,16.0,140.0,22,3,2012,HarperCollins Publishers,London,United Kingdom,1,7449,30.32
You Deserve Each Other : The perfect escapist feel-good romance,1,3.93,0,1,0,Sarah Hogle,368.0,198.0,126.0,32.0,253.0,11,2,2021,"Little, Brown Book Group",London,United Kingdom,1,323,47.43
My Dad's a Policeman,1,4.13,1,1,0,Cathy Glass,112.0,198.0,129.0,7.0,80.0,20,1,2015,HarperCollins Publishers,London,United Kingdom,1,6686,36.38
The Lottery and Other Stories,1,4.05,1,1,0,Shirley Jackson,320.0,198.0,129.0,18.0,236.0,1,10,2009,Penguin Books Ltd,London,United Kingdom,1,5070,54.82
In Watermelon Sugar,1,3.87,0,1,0,The Estate of Richard Brautigan,160.0,198.0,129.0,9.0,117.0,4,7,2002,Vintage Publishing,London,United Kingdom,1,5165,49.25
Faceless Killers : Kurt Wallander,1,3.78,0,1,0,Henning Mankell,304.0,198.0,129.0,18.0,213.0,8,12,2011,Vintage Publishing,London,United Kingdom,1,6803,54.34
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,1,4.07,1,1,0,J.K. Rowling,304.0,196.0,124.0,26.0,240.0,23,6,2020,"Little, Brown Book Group",London,United Kingdom,1,2373,45.22
A Thousand Splendid Suns,1,4.39,1,1,0,Khaled Hosseini,432.0,198.0,129.0,30.0,299.0,23,8,2018,Bloomsbury Publishing PLC,London,United Kingdom,1,1842,52.59
The Tattooist of Auschwitz : the heartbreaking and unforgettable international bestseller,1,4.39,1,1,0,Heather Morris,304.0,198.0,129.0,22.0,263.0,23,5,2019,Hot Key Books,London,United Kingdom,1,17247,42.6
Grimm Tales : For Young and Old,1,4.07,1,1,0,Philip Pullman,448.0,198.0,129.0,25.0,326.0,5,9,2013,Penguin Books Ltd,London,United Kingdom,1,84914,56.68
A Keeper : The Sunday Times Bestseller,1,3.98,0,1,0,Graham Norton,336.0,196.0,128.0,26.0,240.0,18,10,2019,Hodder & Stoughton,London,United Kingdom,1,9774,45.22
Housekeeping,1,3.8,0,1,0,Marilynne Robinson,224.0,198.0,126.0,13.0,176.0,23,6,2009,Faber & Faber,London,United Kingdom,1,23791,48.89
Rashomon and Seventeen Other Stories,1,4.09,1,1,0,Ryunosuke Akutagawa,320.0,198.0,129.0,18.0,236.0,3,3,2009,Penguin Books Ltd,London,United Kingdom,1,12182,54.82
Warleggan,1,4.29,1,1,0,Winston Graham,480.0,197.0,129.0,30.0,328.0,6,6,2008,Pan Macmillan,London,United Kingdom,1,22774,40.96
"I, Claudius",1,4.2,1,1,0,Robert Graves,416.0,198.0,129.0,23.0,303.0,22,6,2015,Penguin Books Ltd,London,United Kingdom,1,23307,56.2
This Is How It Always Is : A REESE'S BOOK CLUB PICK,1,4.26,1,1,0,Laurie Frankel,480.0,198.0,130.0,32.0,320.0,11,1,2018,Headline Publishing Group,London,United Kingdom,1,2702,51.25
The Miracle At Speedy Motors,1,4.1,1,1,0,Alexander McCall Smith,256.0,195.0,131.0,17.0,179.0,5,2,2009,"Little, Brown Book Group",London,United Kingdom,1,6778,43.96
The Death of Ivan Ilyich,1,4.1,1,1,0,Leo Tolstoy,128.0,161.0,111.0,10.0,99.0,28,2,2017,Penguin Books Ltd,London,United Kingdom,1,6901,28.01
Steppenwolf,1,4.13,1,1,0,Hermann Hesse,272.0,198.0,129.0,15.0,202.0,5,4,2012,Penguin Books Ltd,London,United Kingdom,1,1492,54.11
To the Lighthouse,1,3.78,0,1,0,Virginia Woolf,272.0,195.0,128.0,12.0,190.0,12,6,2008,Oxford University Press,Oxford,United Kingdom,1,4852,44.43
Do Androids Dream Of Electric Sheep? : The inspiration behind Blade Runner and Blade Runner 2049,1,4.08,1,1,0,Philip K Dick,224.0,196.0,128.0,22.0,200.0,12,2,2016,Orion Publishing Co,London,United Kingdom,1,73652,44.4
"Positive Discipline : The Classic Guide to Helping Children Develop Self-Discipline, Responsibility, Cooperation, and Problem-Solving Skills",1,4.23,1,1,0,Jane Nelsen,384.0,203.0,131.0,21.0,278.0,30,5,2006,Random House USA Inc,New York,United States,1,11138,59.76
The Hours,1,3.94,0,1,0,Michael Cunningham,240.0,198.0,129.0,15.0,160.0,10,2,2003,HarperCollins Publishers,London,United Kingdom,1,5607,45.21
A Whole Life,1,3.95,0,1,0,Robert Seethaler,160.0,197.0,130.0,11.0,129.0,29,3,2016,Pan Macmillan,London,United Kingdom,1,9620,42.99
The House of the Spirits,1,4.25,1,1,0,Isabel Allende,496.0,198.0,129.0,29.0,341.0,8,2,2017,Vintage Publishing,London,United Kingdom,1,3775,56.99
The Restaurant at the End of the Universe,1,4.2,1,1,0,Douglas Adams,256.0,174.0,105.0,17.0,136.0,1,4,2005,Random House USA Inc,New York,United States,1,23292,40.7
Cat's Cradle,1,4.16,1,1,0,Kurt Vonnegut,224.0,198.0,129.0,13.0,168.0,16,6,2011,Penguin Books Ltd,London,United Kingdom,1,23286,47.14
The Light Behind The Window,1,4.21,1,1,0,Lucinda Riley,544.0,197.0,130.0,34.0,383.0,30,8,2012,Pan Macmillan,London,United Kingdom,1,18029,50.18
"Practical Magic : The Beloved Novel of Love, Friendship, Sisterhood and Magic",1,3.75,0,1,0,Alice Hoffman,288.0,198.0,130.0,21.0,242.0,19,10,2017,Simon & Schuster Ltd,London,United Kingdom,1,17305,61.7
Master and Commander,1,4.04,1,1,0,Patrick O'Brian,448.0,198.0,129.0,27.0,280.0,1,11,2002,HarperCollins Publishers,London,United Kingdom,1,7483,49.76
Life and Death: Twilight Reimagined,1,3.62,0,1,0,Stephenie Meyer,528.0,195.0,130.0,35.0,360.0,1,11,2016,"Little, Brown Book Group",London,United Kingdom,1,3628,49.65
A Manual for Cleaning Women : Selected Stories,1,4.2,1,1,0,Lucia Berlin,432.0,197.0,130.0,26.0,311.0,25,8,2016,Pan Macmillan,London,United Kingdom,1,4612,49.19
The Black Moon,1,4.27,1,1,0,Winston Graham,560.0,197.0,130.0,34.0,393.0,6,6,2008,Pan Macmillan,London,United Kingdom,1,80188,44.24
My Grandmother Sends Her Regards and Apologises,1,4.06,1,1,0,Fredrik Backman,368.0,198.0,128.0,26.0,260.0,11,4,2016,Hodder & Stoughton,London,United Kingdom,1,6150,45.64
The Choice,1,4.0,1,1,0,Nicholas Sparks,336.0,172.0,107.0,23.0,159.0,1,4,2009,Time Warner Trade Publishing,New York,United States,1,7073,43.73
Paradise Lost and Paradise Regained,1,4.07,1,1,0,John Milton,416.0,178.0,111.0,26.0,230.0,22,3,2012,HarperCollins Publishers,London,United Kingdom,1,12225,32.18
Sense and Sensibility,1,4.08,1,1,0,Jane Austen,416.0,198.0,129.0,18.0,287.0,30,8,2012,Penguin Books Ltd,London,United Kingdom,1,83630,46.44
Unravelling Oliver : The gripping psychological suspense from the No. 1 bestseller,1,3.81,0,1,0,Liz Nugent,240.0,198.0,129.0,15.0,170.0,9,4,2015,Penguin Books Ltd,London,United Kingdom,1,82122,50.35
Never Let Me Go,1,3.83,0,1,0,Kazuo Ishiguro,304.0,178.0,111.0,18.0,171.0,5,1,2006,FABER & FABER,London,United Kingdom,1,1025,49.88
The Shack,1,3.79,0,1,0,William P. Young,256.0,203.0,129.0,18.0,210.0,1,7,2008,WINDBLOWN MEDIA,Newbury Park,CA,1,66900,61.09
The Silkworm : Cormoran Strike Book 2,1,4.04,1,1,0,Robert Galbraith,464.0,232.0,154.0,34.0,606.0,24,6,2014,"Little, Brown Book Group",London,United Kingdom,1,6934,97.82
Sophie's World,1,3.94,0,1,0,Jostein Gaarder,496.0,195.0,134.0,33.0,345.0,17,9,2015,Orion Publishing Co,London,United Kingdom,1,37396,46.9
Fly Away : The Sequel to Netflix Hit Firefly Lane,1,3.97,0,1,0,Kristin Hannah,416.0,197.0,130.0,27.0,294.0,13,3,2014,Pan Macmillan,London,United Kingdom,1,18734,46.4
Death of Kings,1,4.28,1,1,0,Bernard Cornwell,384.0,198.0,129.0,25.0,280.0,7,7,2014,HarperCollins Publishers,London,United Kingdom,1,12379,39.97
My Not So Perfect Life : A Novel,1,3.8,0,1,0,Sophie Kinsella,464.0,178.0,110.0,28.0,245.0,13,7,2017,Transworld Publishers Ltd,London,United Kingdom,1,7117,63.52
Swing Time : LONGLISTED for the Man Booker Prize 2017,1,3.56,0,1,0,Zadie Smith,464.0,198.0,129.0,28.0,321.0,6,7,2017,Penguin Books Ltd,London,United Kingdom,1,85584,53.47
Sula,1,3.96,0,1,0,Toni Morrison,208.0,198.0,129.0,13.0,150.0,7,5,1998,Vintage Publishing,London,United Kingdom,1,24098,49.93
The Lincoln Highway : A Novel,1,4.34,1,1,0,Amor Towles,592.0,228.0,150.0,39.0,669.0,5,10,2021,Penguin Putnam Inc,United States,United States,1,6228,81.9
Breakfast at Tiffany's,1,3.87,0,1,0,Truman Capote,176.0,181.0,111.0,11.0,100.0,16,6,2011,Penguin Books Ltd,London,United Kingdom,1,23673,48.9
All the Pretty Horses,1,4.01,1,1,0,Cormac McCarthy,320.0,197.0,130.0,20.0,232.0,1,1,2010,Pan Macmillan,London,United Kingdom,1,80374,45.12
The Princess Bride,1,4.25,1,1,0,William Goldman,336.0,198.0,129.0,20.0,228.0,13,8,2008,Bloomsbury Publishing PLC,London,United Kingdom,1,68459,51.79
The Days Of Abandonment,1,3.86,0,1,0,Elena Ferrante,192.0,210.0,135.0,17.78,226.0,29,9,2015,Europa Editions,New York,United States,1,3741,59.84
The Limpopo Academy Of Private Detection,1,4.12,1,1,0,Alexander McCall Smith,272.0,198.0,128.0,20.0,220.0,14,3,2013,"Little, Brown Book Group",London,United Kingdom,1,7215,44.81
The Italian Girl,1,4.13,1,1,0,Lucinda Riley,608.0,198.0,131.0,36.0,430.0,3,7,2014,Pan Macmillan,London,United Kingdom,1,4405,51.15
A Million Little Pieces : A shocking exploration of addiction,1,3.66,0,1,0,James Frey,528.0,196.0,128.0,42.0,358.0,10,5,2004,John Murray Press,London,United Kingdom,1,7233,54.47
Something Blue,1,3.94,0,1,0,Emily Giffin,374.0,174.0,106.0,25.0,186.0,26,4,2011,St Martin's Press,New York,United States,1,11593,46.78
A Tree Grows in Brooklyn,1,4.28,1,1,0,Betty Smith,528.0,203.2,134.62,31.75,385.55,6,11,2018,HarperCollins Publishers Inc,New York,NY,1,7303,54.49
Tin Man,1,3.97,0,1,0,Sarah Winman,224.0,196.0,128.0,20.0,160.0,22,3,2018,Headline Publishing Group,London,United Kingdom,1,6853,43.57
The ABC Murders,1,4.02,1,1,0,Agatha Christie,288.0,198.0,129.0,18.0,200.0,5,7,2017,HarperCollins Publishers,London,United Kingdom,1,11570,51.21
Ghost World,1,3.83,0,1,0,Daniel Clowes,80.0,260.0,170.0,8.0,243.0,1,5,2007,Vintage Publishing,London,United Kingdom,1,7250,58.46
Lord of the Flies : New Educational Edition,1,3.69,0,1,0,William Golding,368.0,198.0,126.0,22.0,283.0,1,1,2013,Faber & Faber,London,United Kingdom,1,6911,51.1
In The Company Of Cheerful Ladies,1,4.08,1,1,0,Alexander McCall Smith,272.0,199.0,130.0,16.0,200.0,1,3,2005,"Little, Brown Book Group",London,United Kingdom,1,21480,44.4
On Earth We're Briefly Gorgeous : A Novel,1,4.06,1,1,0,Ocean Vuong,256.0,196.0,127.0,18.0,204.0,1,6,2021,Penguin Putnam Inc,United States,United States,1,7257,52.51
"The Girl in the Letter: The most gripping, heartwrenching page-turner of the year",1,3.97,0,1,0,Emily Gunnis,384.0,196.0,126.0,36.0,270.0,11,2,2020,Headline Publishing Group,London,United Kingdom,1,9824,47.78
Wolf of the Plains,1,4.35,1,1,0,Conn Iggulden,480.0,198.0,129.0,30.0,330.0,8,7,2010,HarperCollins Publishers,London,United Kingdom,1,11957,53.9
The Testament of Mary,1,3.63,0,1,0,Colm Tóibín,112.0,198.0,139.0,7.0,86.0,10,7,2013,Penguin Books Ltd,London,United Kingdom,1,7386,45.45
The Defence : Win the trial. Or lose his life.,1,4.02,1,1,0,Steve Cavanagh,320.0,196.0,130.0,24.0,240.0,15,2,2016,Orion Publishing Co,London,United Kingdom,1,10215,45.22
Crossing to Safety,1,4.16,1,1,0,Wallace Stegner,368.0,203.0,132.0,19.0,261.0,8,4,2008,Random House USA Inc,New York,United States,1,7416,68.72
Precious and Grace,1,4.09,1,1,0,Alexander McCall Smith,256.0,197.0,128.0,16.0,205.0,4,5,2017,"Little, Brown Book Group",London,United Kingdom,1,22620,44.5
Dark Water : A gripping serial killer thriller,1,4.28,1,1,0,Robert Bryndza,400.0,196.0,125.0,24.0,268.0,13,12,2018,"Little, Brown Book Group",London,United Kingdom,1,67840,43.37
Billy and Me,1,3.84,0,1,0,Giovanna Fletcher,432.0,198.0,129.0,26.0,298.0,23,5,2013,Penguin Books Ltd,London,United Kingdom,1,7443,53.0
Turn a Blind Eye,1,4.16,1,1,0,Jeffrey Archer,384.0,197.0,130.0,23.0,277.0,16,9,2021,Pan Macmillan,London,United Kingdom,1,1905,46.05
Fictions,1,4.43,1,1,0,Jorge Luis Borges,192.0,198.0,129.0,11.0,145.0,23,3,2011,Penguin Books Ltd,London,United Kingdom,1,3908,49.83
A Storm of Swords: Part 2 Blood and Gold (Reissue),1,4.5,1,1,0,George R.R. Martin,624.0,198.0,129.0,40.0,410.0,1,9,2011,HarperCollins Publishers,London,United Kingdom,1,88352,71.65
Night Music : The Sunday Times bestseller full of warmth and heart,1,3.78,0,1,0,Jojo Moyes,432.0,197.0,162.0,28.0,296.0,1,11,2020,Hodder & Stoughton,London,United Kingdom,1,23105,46.71
Cat's Eye,1,3.92,0,1,0,Margaret Atwood,512.0,150.0,199.0,34.0,404.0,1,2,2021,"Little, Brown Book Group",London,United Kingdom,1,36404,40.42
World of Warcraft: Arthas : Rise of the Lich King,1,4.11,1,1,0,Christie Golden,416.0,171.0,106.0,36.0,197.0,17,1,2013,SIMON & SCHUSTER,New York,United States,1,7448,49.68
The Glass Room : Shortlisted for the Booker Prize,1,3.91,0,1,0,Simon Mawer,416.0,198.0,126.0,28.0,320.0,22,4,2010,"Little, Brown Book Group",London,United Kingdom,1,79277,40.79
Submission,1,3.65,0,1,0,Michel Houellebecq,256.0,198.0,129.0,16.0,181.0,1,9,2016,Vintage Publishing,London,United Kingdom,1,15418,53.68
The Paper Palace : The New York Times Number One Bestseller,1,3.91,0,1,0,Miranda Cowley Heller,400.0,234.0,153.0,29.0,484.0,8,7,2021,Penguin Books Ltd,London,United Kingdom,1,7757,72.08
The Discomfort of Evening : WINNER OF THE BOOKER INTERNATIONAL PRIZE 2020,1,3.47,0,1,0,Marieke Lucas Rijneveld,288.0,198.0,129.0,17.0,240.0,21,10,2020,FABER & FABER,London,United Kingdom,1,22034,50.21
Regeneration,1,4.02,1,1,0,Pat Barker,352.0,198.0,129.0,21.0,245.0,17,6,2011,Penguin Books Ltd,United Kingdom,United Kingdom,1,12146,51.9
The Naked Sun,1,4.16,1,1,0,Isaac Asimov,256.0,198.0,129.0,16.0,180.0,19,4,2018,HarperCollins Publishers,London,United Kingdom,1,12285,37.9
44 Scotland Street,1,3.61,0,1,0,Alexander McCall Smith,336.0,199.0,130.0,22.0,264.0,1,3,2010,"Little, Brown Book Group",London,United Kingdom,1,21443,39.64
The Elephant Vanishes,1,3.86,0,1,0,Haruki Murakami,336.0,198.0,129.0,20.0,234.0,1,12,2003,Vintage Publishing,London,United Kingdom,1,7437,54.78
Blood Meridian,1,4.16,1,1,0,Cormac McCarthy,384.0,197.0,209.0,27.0,318.0,13,8,2015,Pan Macmillan,London,United Kingdom,1,2802,50.72
Choke,1,3.7,0,1,0,Chuck Palahniuk,304.0,198.0,129.0,19.0,213.0,1,8,2002,Vintage Publishing,London,United Kingdom,1,4927,35.42
The Power of the Dog,1,4.35,1,1,0,Don Winslow,560.0,198.0,129.0,35.0,383.0,1,5,2006,Cornerstone,London,United Kingdom,1,22818,48.05
An Artist of the Floating World,1,3.77,0,1,0,Kazuo Ishiguro,208.0,178.0,111.0,12.0,119.0,11,2,2009,Faber & Faber,London,United Kingdom,1,5027,48.5
The Outsiders,1,4.11,1,1,0,S.E. Hinton,160.0,198.0,129.0,9.0,123.0,1,4,2009,Penguin Books Ltd,London,United Kingdom,1,81354,52.48
Transcription,1,3.49,0,1,0,Kate Atkinson,352.0,234.0,153.0,25.0,425.0,6,9,2018,Transworld Publishers Ltd,London,United Kingdom,1,7586,82.79
The Tenant of Wildfell Hall,1,3.98,0,1,0,Anne Brontë,560.0,198.0,129.0,24.0,383.0,28,8,2012,Penguin Books Ltd,London,United Kingdom,1,11977,51.59
Women,1,3.83,0,1,0,Charles Bukowski,320.0,198.0,130.0,19.0,223.0,3,6,2011,Ebury Publishing,London,United Kingdom,1,70003,57.71
Invisible Man,1,3.89,0,1,0,Ralph Ellison,608.0,198.0,129.0,26.0,415.0,14,6,2010,Penguin Books Ltd,London,United Kingdom,1,23369,58.52
Blindness,1,4.15,1,1,0,Jose Saramago,320.0,198.0,129.0,20.0,224.0,4,4,2013,Vintage Publishing,London,United Kingdom,1,11965,54.57
The Constant Princess,1,3.91,0,1,0,Philippa Gregory,528.0,198.0,129.0,32.0,340.0,2,5,2006,HarperCollins Publishers,London,United Kingdom,1,107904,56.05
The History of Love,1,3.91,0,1,0,Nicole Krauss,272.0,198.0,129.0,17.0,191.0,6,1,2006,Penguin Books Ltd,London,United Kingdom,1,11873,50.78
The Amazing Story of Adolphus Tips,1,4.04,1,1,0,Michael Morpurgo,192.0,198.0,129.0,14.0,190.0,6,2,2006,HarperCollins Publishers,London,United Kingdom,1,25169,34.94
Mornings in Jenin,1,4.41,1,1,0,Susan Abulhawa,352.0,198.0,129.0,21.0,248.0,22,2,2011,Bloomsbury Publishing PLC,London,United Kingdom,1,2804,55.37
The Four Swans : A Novel of Cornwall 1795-1797,1,4.26,1,1,0,Winston Graham,592.0,197.0,131.0,37.0,384.0,6,6,2008,Pan Macmillan,London,United Kingdom,1,78664,44.06
The 100 : Book One,1,3.58,0,1,0,Kass Morgan,336.0,196.0,128.0,26.0,234.0,29,8,2013,HODDER & STOUGHTON,London,United Kingdom,1,56586,39.02
The Dutch House : Longlisted for the Women's Prize 2020,1,4.1,1,1,0,Ann Patchett,352.0,234.0,153.0,30.0,528.0,24,9,2019,Bloomsbury Publishing PLC,London,United Kingdom,1,7753,92.65
Lies Sleeping : Book 7 in the #1 bestselling Rivers of London series,1,4.25,1,1,0,Ben Aaronovitch,416.0,198.0,128.0,26.0,300.0,1,11,2020,Orion Publishing Co,London,United Kingdom,1,17667,46.47
Authority,1,3.53,0,1,0,Jeff VanderMeer,352.0,198.0,129.0,26.0,330.0,30,7,2015,HarperCollins Publishers,London,United Kingdom,1,25055,53.9
The Origin of Species,1,3.98,0,1,0,Charles Darwin,624.0,178.0,111.0,39.0,350.0,22,3,2012,HarperCollins Publishers,London,United Kingdom,1,25254,36.6
A Legacy of Spies,1,3.89,0,1,0,John le Carre,272.0,234.0,153.0,19.0,356.0,7,9,2017,Penguin Books Ltd,London,United Kingdom,1,83336,78.26
Golden Hill : 'My favourite book of the last 5 years'-Richard Osman,1,3.79,0,1,0,Francis Spufford,352.0,198.0,129.0,21.0,292.0,17,12,2016,Faber & Faber,London,United Kingdom,1,22258,51.29
Apples Never Fall : The Sunday Times bestseller from the author of Nine Perfect Strangers and Big Little Lies,1,3.89,0,1,0,Liane Moriarty,496.0,234.0,153.0,35.0,596.0,14,9,2021,Penguin Books Ltd,London,United Kingdom,1,5777,81.67
Dear Life : Stories,1,3.75,0,1,0,Alice Munro,336.0,174.0,106.0,23.0,164.0,1,11,2013,Random House USA Inc,New York,United States,1,7891,46.57
Orphan Train : A Novel,1,4.18,1,1,0,Christina Baker Kline,294.0,203.0,138.0,22.86,235.0,10,1,2017,HarperCollins Publishers Inc,New York,United States,1,87193,55.1
Call Me by Your Name,1,4.15,1,1,0,Andre Aciman,256.0,210.0,140.0,19.0,227.0,3,10,2017,Picador/Farrar Straus and Giroux,New York,New York,1,20024,63.88
Slaughterhouse-Five : A Novel,1,4.08,1,1,0,Kurt Vonnegut,288.0,203.0,135.0,15.0,215.0,12,8,2011,Random House USA Inc,New York,United States,1,78856,63.51
Giovanni's Room,1,4.26,1,1,0,James Baldwin,176.0,198.0,129.0,9.0,134.0,4,10,2001,Penguin Books Ltd,London,United Kingdom,1,1495,52.71
Pachinko : The New York Times Bestseller,1,4.29,1,1,0,Min Jin Lee,560.0,198.0,129.0,41.0,388.0,9,1,2020,Head of Zeus,London,United Kingdom,1,3254,57.04
Child of God,1,3.81,0,1,0,Cormac McCarthy,192.0,196.0,130.0,17.0,134.0,8,12,2014,Pan Macmillan,London,United Kingdom,1,11162,43.09
Envy : A Novel of the Fallen Angels,1,4.22,1,1,0,J.R. Ward,480.0,170.0,107.0,31.0,266.0,6,9,2011,Penguin Putnam Inc,New York,United States,1,7932,48.98
One True Loves : A Novel,1,4.04,1,1,0,Taylor Jenkins Reid,352.0,210.0,135.0,23.0,270.0,28,7,2016,SIMON & SCHUSTER,New York,United States,1,17932,69.27
The House of God,1,3.91,0,1,0,Samuel Shem,432.0,208.0,140.0,29.0,369.0,7,9,2010,Penguin Putnam Inc,New York,NY,1,10995,68.28
At Night All Blood is Black : WINNER OF THE INTERNATIONAL BOOKER PRIZE 2021,1,3.88,0,1,0,David Diop,160.0,198.0,129.0,15.0,160.0,6,5,2021,Pushkin Press,London,United Kingdom,1,2633,50.38
Lord of the Flies,1,3.69,0,1,0,William Golding,304.0,198.0,126.0,18.0,208.0,15,7,2004,Faber & Faber,London,United Kingdom,1,75072,49.55
The Full Cupboard Of Life,1,4.02,1,1,0,Alexander McCall Smith,224.0,198.0,129.0,19.0,179.0,1,7,2004,"Little, Brown Book Group",London,United Kingdom,1,79663,43.96
The Kalahari Typing School For Men,1,4.0,1,1,0,Alexander McCall Smith,224.0,196.0,128.0,18.0,180.0,31,1,2007,"Little, Brown Book Group",London,United Kingdom,1,76177,43.98
The Girl Before,1,3.7,0,1,0,JP Delaney,448.0,189.0,135.0,28.0,303.0,30,1,2018,Quercus Publishing,London,United Kingdom,1,42025,48.23
