,book_title,book_genre,book_rate,successfull_book,paperback,hardback,author,number_of_pages,book_length_mm,book_width_mm,book_depth_mm,book_weight_grams,publication_day,publication_month,publication_year,publisher,publication_city,publication_country,language,bestsellers_rank,price_nis
556,IronFit Secrets for Half Iron-Distance Triathlon Success : Time-Efficient Training For Triathlon's Most Popular Distance,sport,4.3,1,1,0,Don Fink,256,229,152,17.78,25,14,Mar,2014,Rowman & Littlefield,Guilford,United States,English,"70,965",58.63
557,Ireland's County High Points,sport,3.5,0,1,0,Kieron Gribbon,192,198,128,13,326,15,Oct,2012,The Collins Press,Cork,Ireland,English,"3,257",67.69
558,Lonely Planet New Zealand's South Island,sport,4.08,1,1,0,Lonely Planet,384,197,128,20,424,18,Sep,2018,Lonely Planet Global Limited,Dublin 8,Ireland,English,"60,302",95.28
559,Paddock Paradise,sport,4.46,1,1,0,Jaime Jackson,122,279.4,215.9,7.62,390.09,18,Aug,2016,Star Ridge Publishing,Harrison,United States,English,"60,958",95.05
560,"Robbo: Now You're Gonna Believe Us : Our Year, My Story",sport,4.22,1,1,0,Andy Robertson,304,198,129,25,254,04,Mar,2021,Reach plc,United Kingdom,United Kingdom,English,"13,578",52.09
561,"Slaying the Badger : LeMond, Hinault and the Greatest Ever Tour de France",sport,4.24,1,1,0,Richard Moore,336,198,129,22,258,09,Jul,2012,Vintage Publishing,London,United Kingdom,English,"98,810",55.27
562,Healing Light of the Tao : Foundational Practices to Awaken Chi Energy,sport,4.16,1,1,0,Mantak Chia,576,228,152,37,1,07,Jul,2008,Inner Traditions Bear and Company,Rochester,United States,English,"16,434",93.07
563,Practical Golf,sport,4.09,1,1,0,John Jacobs,144,276,213,10.16,20,01,Jul,1998,Rowman & Littlefield,Guilford,United States,English,"52,114",53.50
564,The Stormrider Surf Guide Indonesia & the Indian Ocean,sport,4.44,1,1,0,Bruce Sutherland,144,280,220,10.16,517.1,15,Mar,2011,Wilderness Press,Berkeley,United States,English,"61,675",89.46
565,Down to Earth Dressage : How to Train Your Horse - and Enjoy it!,sport,4.29,1,1,0,Carl Hester,112,230,150,7.62,272.16,30,Jun,1999,Quiller Publishing Ltd,Haslemere,United Kingdom,English,"60,614",59.85
566,Walking : One Step at a Time,sport,3.77,0,1,0,Erling Kagge,192,172,122,16,255,05,Mar,2020,Penguin Books Ltd,London,United Kingdom,English,"61,622",52.11
567,Tales from the Secret Footballer,sport,3.46,0,1,0,Anon,256,216,135,19,278,07,Nov,2013,Guardian Faber Publishing,London,United Kingdom,English,"12,465",39.99
568,Commander in Cheat: How Golf Explains Trump : The brilliant New York Times bestseller,sport,4.18,1,1,0,Rick Reilly,272,196,126,26,200,11,Nov,2020,Headline Publishing Group,London,United Kingdom,English,"57,641",49.26
569,Bushcraft : Outdoor Skills and Wilderness Survival,sport,4.36,1,1,0,Mors Kochanski,304,215,9,139,468,15,Mar,2016,"Lone Pine Publishing,Canada",Alberta,Canada,English,"63,360",76.72
570,The Art of War : The Definitive Interpretation of Sun Tzu's Classic Book of Strategy,sport,3.97,0,1,0,Stephen F. Kaufman,128,216,133,10.16,170,15,Apr,1996,Tuttle Publishing,Boston,United States,English,"61,891",54.40
571,A Different Kind of Life,sport,4.33,1,1,0,Virginia Williams,278,228.6,152.4,14.73,376.48,28,Jul,2017,Echo Point Books & Media,Williamsville,United States,English,"8,961",81.06
572,"Soccernomics : Why England Lose, Why Germany, Spain and France Win, and Why One Day the Rest of the World Will Finally Catch Up",sport,3.94,0,1,0,Simon Kuper,576,198,129,35,400,31,May,2018,HarperCollins Publishers,London,United Kingdom,English,"87,728",60.45
573,Gironimo! : Riding the Very Terrible 1914 Tour of Italy,sport,4.07,1,1,0,Tim Moore,368,198,129,26,317,30,Apr,2015,Vintage Publishing,London,United Kingdom,English,"83,582",56.49
574,One by One,sport,3.73,0,1,0,Ruth Ware,384,234,153,27,497,12,Nov,2020,Vintage Publishing,London,United Kingdom,English,"62,630",73.14
575,Unbreakable Runner : Unleash the Power of Strength & Conditioning for a Lifetime of Running Strong,sport,3.72,0,1,0,T. J. Murphy,224,228,152,25,453,01,Oct,2014,VeloPress,Boulder,United States,English,"59,902",
576,The Climb : Tragic Ambitions on Everest,sport,3.96,0,1,0,Anatoli Boukreev,400,197,130,25,288,14,Jun,2018,Pan Macmillan,London,United Kingdom,English,"9,471",51.15
577,Mountaineering: The Freedom of the Hills,sport,4.59,1,1,0,The Mountaineers,624,226,183,38,"1,111",01,Nov,2017,MOUNTAINEERS BOOKS,,,English,"15,659",139.48
578,Equine Fitness: A Program of Exercises and Routines for Your Horse,sport,4.21,1,1,0,Jec Aristotle Ballou,168,276,216,11.68,517.1,20,Jan,2010,Storey Publishing LLC,North Adams,United States,English,"35,155",81.01
579,The Hustler : From the author of The Queen's Gambit - now a major Netflix drama,sport,4.16,1,1,0,Walter Tevis,224,196,128,18,220,12,Nov,2015,Orion Publishing Co,London,United Kingdom,English,"62,992",44.81
580,"Ray Mears Outdoor Survival Handbook : A Guide to the Materials in the Wild and How To Use them for Food, Warmth, Shelter and Navigation",sport,4.25,1,1,0,Ray Mears,240,234,153,18,295,30,May,2001,Ebury Publishing,London,United Kingdom,English,"84,647",72.19
581,A Walking Guide to New Zealand's Long Trail : Te Araroa,sport,3.89,0,1,0,GEOFF CHAPPLE,280,241,176,18,789,25,Nov,2011,Random House New Zealand Ltd,Auckland,New Zealand,English,"65,372",181.74
582,"Oxford IB Diploma Programme: Sports, Exercise and Health Science Course Companion",sport,4,1,1,0,John Sproule,368,275,220,18,920,08,Nov,2012,Oxford University Press,Oxford,United Kingdom,English,"63,084",246.70
583,Jurgen Klopp,sport,3.77,0,1,0,Elmar Neveling,400,198,126,25,293,27,Apr,2021,Ebury Publishing,London,United Kingdom,English,"53,181",56.00
584,That Near Death Thing : Inside the Most Dangerous Race in the World,sport,4.36,1,1,0,Rick Broadbent,368,201,134,24,302,01,Oct,2013,Orion Publishing Co,London,United Kingdom,English,"61,289",51.38
585,The Warrior Within,sport,4.26,1,1,0,John Little,240,229,178,15,397,16,Apr,2009,Contemporary Books Inc,Chicago,IL,English,"63,949",70.77
586,Muhammad Ali : His Life and Times,sport,4.33,1,1,0,Thomas Hauser,544,200,134,42,540,22,May,2012,HarperCollins Publishers,United Kingdom,United Kingdom,English,"63,768",65.11
587,Woman in the Wilderness,sport,3.93,0,1,0,Miriam Lancewood,336,198,128,30.48,308,28,Mar,2018,ALLEN & UNWIN,New Zealand,New Zealand,English,"45,677",78.20
588,Why We Run : A Natural History,sport,3.83,0,1,0,Bernd Heinrich,304,203,140,19,249,12,Sep,2011,HarperCollins Publishers Inc,New York,NY,English,"25,105",56.08
589,The Battle,sport,3.96,0,1,0,Paul O'Connell,432,198,129,26,342,04,May,2017,Penguin Books Ltd,London,United Kingdom,English,"83,692",57.01
590,"How to Survive the End of the World as We Know It : Tactics, Techniques, and Technologies for Uncertain Times",sport,3.77,0,1,0,"James Wesley, Rawles",336,203,135,18,244,01,Oct,2009,Penguin Putnam Inc,New York,United States,English,"65,055",68.43
591,Pilgrim Paths in Ireland,sport,4,1,1,0,John G. O'Dwyer,160,198,128,10,248,26,Jun,2017,The Collins Press,Cork,Ireland,English,"14,388",67.72
592,"HBR's 10 Must Reads on Strategic Marketing (with featured article ""Marketing Myopia,"" by Theodore Levitt)",sport,4.01,1,1,0,Clayton M. Christensen,224,209,139,20,240,11,Apr,2013,Harvard Business Review Press,United States,United States,English,"64,910",75.04
593,Only a Game? : The Diary of a Professional Footballer,sport,3.86,0,1,0,Eamon Dunphy,208,198,129,13,149,01,Jun,1999,Penguin Books Ltd,London,United Kingdom,English,"85,734",49.91
594,The Art of Horsemanship,sport,4.08,1,1,0,Xenophon,208,216,134,10,213,29,Sep,2006,Dover Publications Inc.,New York,United States,English,"77,431",46.07
595,Jog On : How Running Saved My Life,sport,3.73,0,1,0,Bella Mackie,288,198,129,18,190,11,Feb,2020,HarperCollins Publishers,London,United Kingdom,English,"88,863",51.01
596,Canoecraft: An Illustrated Guide to Fine Woodstrip Construction,sport,4.51,1,1,0,Ted Moores,242,203,273,20.32,725.75,15,Nov,2007,Firefly Books Ltd,Ontario,Canada,English,"62,287",102.48
597,How to Walk,sport,4.16,1,1,0,Thich Nhat Hanh,120,152,102,9,85,30,Apr,2015,Parallax Press,Berkeley,United States,English,"62,185",43.60
598,"The Bushcraft Field Guide to Trapping, Gathering, and Cooking in the Wild",sport,4.32,1,1,0,Dave Canterbury,264,214,140,18,372,01,Oct,2016,Adams Media Corporation,Holbrook,MA,English,"59,933",68.46
599,The Mechanic's Tale,sport,4.03,1,1,0,Steve Matchett,240,196,126,18,220,01,Mar,2002,Orion Publishing Co,London,United Kingdom,English,"18,473",47.24
600,Epic Hikes of the World 1,sport,4.2,1,1,0,Lonely Planet,328,240,185,21,963,16,Mar,2021,Lonely Planet Global Limited,Dublin 8,Ireland,English,"14,816",85.85
601,Draft Animals,sport,4.35,1,1,0,Phil Gaimon,352,210,140,20.32,272.16,09,Nov,2017,Penguin Putnam Inc,New York,United States,English,"63,959",66.58
602,"Force of Nature : Mind, Body, Soul, And, of Course, Surfing",sport,3.89,0,1,0,Laird Hamilton,256,232,191,15,635,31,Aug,2010,Rodale Incorporated,Pennsylvania,United States,English,"68,109",91.60
603,The Utilita Football Yearbook 2021-2022,sport,,0,1,0,Headline,1056,208,134,62,851,22,Feb,2022,Headline Publishing Group,London,United Kingdom,English,"61,992",124.00
604,Ride with Your Mind ESSENTIALS : Innovative Learning Strategies for Basic Riding Skills,sport,4.39,1,1,0,Mary Wanless,144,246,189,9.91,555,06,Feb,2006,Quiller Publishing Ltd,Haslemere,United Kingdom,English,"38,065",82.13
605,Pushing the Limits : The Two-Time World MotoGP Champion's Own Explosive Story,sport,4.13,1,1,0,Casey Stoner,336,232,154,30,420,06,Nov,2018,Orion Publishing Co,London,United Kingdom,English,"67,948",59.01
606,"Chirunning : A Revolutionary Approach to Effortless, Injury-Free Running",sport,3.73,0,1,0,Danny Dreyer,256,198,129,16,181,07,Apr,2008,Simon & Schuster Ltd,London,United Kingdom,English,"65,605",65.91
607,A Heart Divided : Legends of the Condor Heroes Vol. 4,sport,,0,1,0,Jin Yong,608,196,126,42,400,14,Oct,2021,Quercus Publishing,London,United Kingdom,English,"66,686",50.47
608,2018 FIFA World Cup Russia (TM) The Official Book,sport,3.75,0,1,0,Keir Radnedge,128,246,189,10.16,362.87,05,Jun,2018,Welbeck Publishing Group,United Kingdom,United Kingdom,English,"67,109",78.10
609,Valentino Rossi : The Definitive Biography,sport,4.44,1,1,0,Stuart Barker,368,198,130,22,285,01,Apr,2021,John Blake Publishing Ltd,London,United Kingdom,English,"3,684",47.74
610,Mastering The 21 Immutable Principles Of Brazilian Jiu-Jitsu : The Ultimate Handbook for Brazilian Jiu-Jitsu Students,sport,4.29,1,1,0,Teresa De La Cruz,114,229,152,6,163,01,Jun,2015,Createspace Independent Publishing Platform,,,English,"78,107",74.39
611,"Inside the Box : How CrossFit  (R) Shredded the Rules, Stripped Down the Gym, and Rebuilt My Body",sport,3.87,0,1,0,T. J. Murphy,192,229,157,20,453,01,Sep,2012,VeloPress,Boulder,United States,English,"66,789",76.74
612,Primal Endurance : Escape chronic cardio and carbohydrate dependency and become a fat burning beast!,sport,4.03,1,1,0,Mark Sisson,380,251,46,198,970,04,Jan,2016,"Primal Nutrition, Inc",Malibu,United States,English,"66,074",123.72
613,The Truth About Chuck Norris : 400 Facts About the World's Greatest Human,sport,3.8,0,1,0,Ian Spector,176,177,127,12.45,143,01,Dec,2007,Penguin Putnam Inc,New York,United States,English,"66,949",56.42
614,Self-Rescue,sport,4.37,1,1,0,David Fasulo,256,229,152,15.24,27,27,Feb,2018,Rowman & Littlefield,Guilford,CT,English,"70,541",52.59
615,The Complete Guide to Sports Nutrition : 8th edition,sport,4.01,1,1,0,Anita Bean,384,230,189,20.32,974,07,Nov,2017,Bloomsbury Publishing PLC,London,United Kingdom,English,"66,067",114.74
616,Tom Wills : First wild man of Australian sport,sport,3.75,0,1,0,Greg de Moore,396,198,128,31,378,01,Nov,2011,Allen & Unwin,St Leonards,Australia,English,"65,420",120.06
617,"The MeatEater Guide to Wilderness Skills and Survival : Essential Wilderness and Survival Skills for Hunters, Anglers, Hikers, and Anyone Spending Time in the Wild",sport,4.5,1,1,0,Steven Rinella,304,210,140,25.4,725.75,01,Dec,2020,Random House USA Inc,New York,United States,English,"22,170",85.79
618,Beastmaking : A fingers-first approach to becoming a better climber,sport,4.67,1,1,0,Ned Feehally,224,210,148,16,500,16,Sep,2021,Vertebrate Publishing Ltd,Sheffield,United Kingdom,English,"40,032",
619,Women's Strength Training Anatomy,sport,4.11,1,1,0,Frederic Delavier,136,254,178,11.43,567,01,Jan,2003,Human Kinetics Publishers,Champaign,IL,English,"67,845",89.56
620,"Tom's Daily Plan : Over 80 Fuss-Free Recipes for a Happier, Healthier You. All Day, Every Day.",sport,4.16,1,1,0,Tom Daley,224,246,189,13,700,03,Jan,2017,HarperCollins Publishers,London,United Kingdom,English,"67,017",63.65
621,"Krav Maga For Beginners : A Step-by-Step Guide to the World's Easiest-to-Learn, Most",sport,3.97,0,1,0,Darren Levine,144,235,190,15.24,410,19,Feb,2009,Ulysses Press,Berkeley,United States,English,"52,003",68.30
622,Living on the Volcano : The Secrets of Surviving as a Football Manager,sport,3.84,0,1,0,Michael Calvin,464,198,129,29,319,15,Aug,2016,Cornerstone,London,United Kingdom,English,"69,727",56.53
623,Sailmaker's Apprentice,sport,4.25,1,1,0,Emiliano Marino,512,236,188,25,768,16,Apr,2009,International Marine Publishing Co,Rockport,ME,English,"73,005",97.15
624,The Bloodied Field : Croke Park. Sunday 21 November 1920,sport,4.09,1,1,0,Michael Foley,352,196,130,22,275,06,Sep,2020,O'Brien Press Ltd,Dublin,Ireland,English,"60,537",72.78
625,My Animals and Other Family,sport,4.12,1,1,0,Clare Balding,304,198,129,18,238,06,Oct,2015,Penguin Books Ltd,London,United Kingdom,English,"67,433",54.86
626,Serious,sport,3.74,0,1,0,John McEnroe,352,198,128,28,300,05,Jun,2003,"Little, Brown Book Group",London,United Kingdom,English,"67,456",51.33
627,"Tomorrow, We Ride",sport,4.34,1,1,0,Jean Bobet,179,210,148,17,312,03,Sep,2008,Mousehold Press,Norwich,United Kingdom,English,"67,227",68.52
628,Musashi's Book of Five Rings : The Definitive Interpretation of Miyamoto Musashi's Classic Book of Strategy,sport,4.01,1,1,0,Stephen F. Kaufman,128,216,140,10.16,255,15,Jan,2004,Tuttle Publishing,Boston,United States,English,"66,651",72.31
629,Ultramarathon Man : Confessions of an All-Night Runner,sport,3.99,0,1,0,Dean Karnazes,240,198,129,17,250,20,Apr,2017,Allen & Unwin,St Leonards,Australia,English,"45,696",50.97
630,"Brain Training for Runners : A Revolutionary New Training System to Improve Endurance, Speed, Health, and Res ults",sport,3.85,0,1,0,Matt Fitzgerald,576,228,152,31,601,04,Sep,2007,Penguin Putnam Inc,New York,NY,English,"68,136",77.57
631,Golden Boy : Kim Hughes and the bad old days of Australian cricket,sport,4.13,1,1,0,Christian Ryan,448,205,135,33,433,23,Sep,2010,Allen & Unwin,St Leonards,Australia,English,"67,827",62.17
632,The Way of St Francis : Via di Francesco: From Florence to Assisi and Rome,sport,4.17,1,1,0,The Reverend Sandy Brown,288,172,116,16,320,21,Nov,2019,Cicerone Press,Kendal,United Kingdom,English,"38,195",79.07
633,The GR20 Corsica : The High Level Route,sport,4.5,1,1,0,Paddy Dillon,272,172,116,16,330,05,Feb,2020,Cicerone Press,Kendal,United Kingdom,English,"38,758",72.89
634,Road to Valour : Gino Bartali - Tour de France Legend and World War Two Hero,sport,4.11,1,1,0,Aili McConnon,256,200,177,21,244,30,Mar,2015,Orion Publishing Co,London,United Kingdom,English,"21,041",48.07
635,"The Complete Guide to Hunting, Butchering, and Cooking Wild Game : Volume 2: Small Game and Fowl",sport,4.66,1,1,0,Steven Rinella,384,253,204,22,"1,213",01,Dec,2015,Random House USA Inc,New York,United States,English,"68,220",122.11
636,Win Forever,sport,4.05,1,1,0,Pete Carroll,256,213,140,17.78,267.62,02,Aug,2011,Penguin Putnam Inc,New York,United States,English,"66,015",65.27
637,Deco for Divers : A Diver's Guide to Decompression Theory and Physiology,sport,4.67,1,1,0,Mark Powell,194,246,171,13,498,15,Dec,2014,AquaPress,Essex,United Kingdom,English,"34,610",124.64
638,"HBR's 10 Must Reads on Innovation (with featured article ""The Discipline of Innovation,"" by Peter F. Drucker)",sport,3.81,0,1,0,Peter F. Drucker,192,209,139,20,212,10,Apr,2013,Harvard Business Review Press,United States,United States,English,"69,155",61.07
639,Connemara & Mayo Walking Guide,sport,4.33,1,1,0,Paul Phelan,160,198,128,13,276,15,Jun,2011,The Collins Press,Cork,Ireland,English,"21,825",68.79
640,The Match : The Day the Game of Golf Changed Forever,sport,4.37,1,1,0,Mark Frost,288,203,136,19,249,17,Mar,2009,Hyperion,New York,United States,English,"62,629",66.95
641,A Thoroughly Unhelpful History of Australian Sport,sport,3.97,0,1,0,Titus O'Reily,336,153,234,28,462,01,Feb,2018,Random House Australia,North Sydney,Australia,English,"68,976",91.28
642,Climbing Anchors,sport,4.33,1,1,0,John Long,224,235,190,14,35,02,Sep,2013,Rowman & Littlefield,CT,United States,English,"72,279",75.51
643,Advanced Marathoning,sport,4.3,1,1,0,Pete D. Pfitzinger,296,251.46,177.8,20.32,5,23,Aug,2019,Human Kinetics Publishers,Champaign,IL,English,"9,702",93.83
644,Musashi's Dokkodo (the Way of Walking Alone),sport,3.63,0,1,0,Lawrence Kane,276,228.6,152.4,14.73,371.95,08,Nov,2015,"Stickman Publications, Inc.",,,English,"73,560",66.66
645,The Unknown Kimi Raikkonen,sport,3.61,0,1,0,Kari Hotakainen,336,234,153,29,484,18,Oct,2018,Simon & Schuster Ltd,London,United Kingdom,English,"41,587",80.24
646,Ask A Footballer,sport,4.03,1,1,0,James Milner,320,196,128,30,240,29,Dec,2020,Quercus Publishing,London,United Kingdom,English,"53,144",47.66
647,RYA Day Skipper Handbook - Sail,sport,4.55,1,1,0,Sara Hopkinson,,245,173,15,582,01,Feb,2011,Royal Yachting Association,Hamble,United Kingdom,English,"14,438",92.37
648,A Guide to Ireland's Mountain Summits,sport,3,0,1,0,MountainViews (Simon Stewart),128,198,128,13,206,27,Aug,2013,The Collins Press,Cork,Ireland,English,"5,351",65.21
649,Cantona : The Rebel Who Would Be King,sport,4.16,1,1,0,Philippe Auclair,480,198,131,31,324,19,Apr,2010,Pan Macmillan,London,United Kingdom,English,"70,641",51.40
650,Showboat : The Life of Kobe Bryant,sport,4.31,1,1,0,Roland Lazenby,640,198,128,42,480,28,Nov,2019,Orion Publishing Co,London,United Kingdom,English,"66,255",54.56
651,Complete Guide to Surf Fitness : The Definitive Guide to Surf Training Whatever Your Level,sport,3.81,0,1,0,Lee Stanbury,207,214.63,203.96,18.8,625.96,01,May,2011,Orca Publications Ltd,Newquay,United Kingdom,English,"72,584",98.41
652,Fedegraphica: A Graphic Biography of the Genius of Roger Federer : Updated edition,sport,4.31,1,1,0,Mark Hodgkinson,272,230,170,22.86,771.11,02,Jul,2018,Aurum Press,London,United Kingdom,English,"71,458",80.24
653,Pro Cycling on $10 a Day : From Fat Kid to Euro Pro,sport,4.24,1,1,0,Phil Gaimon,312,228,152,25,453,05,May,2014,VeloPress,Boulder,United States,English,"66,567",76.74
654,Your 15th Club : The Inner Secret to Great Golf,sport,4.21,1,1,0,Dr. Bob Rotella,208,198,130,17,143,15,Sep,2009,Simon & Schuster Ltd,London,United Kingdom,English,"71,439",58.51
655,"Navigation in the Mountains : The Definitive Guide for Hill Walkers, Mountaineers & Leaders - the Official Navigation Book for All Mountain Leader Training Schemes",sport,4.23,1,1,0,Carlo Forte,160,230,150,17,378,01,Jul,2012,Mountain Training,United Kingdom,United Kingdom,English,"27,815",79.08
656,Best Irish Walks,sport,4,1,1,0,Joss Lynam,217,215,135,11,286,26,Apr,2001,Gill,Dublin,Ireland,English,"69,286",55.00
657,"The Camper Van Bible : Live, Eat, Sleep (Repeat)",sport,4.12,1,1,0,Martin Dorey,448,234,163,48,"1,258",02,Jun,2016,Bloomsbury Publishing PLC,London,United Kingdom,English,"6,512",113.20
658,Core Strength Training : The Complete Step-by-Step Guide to a Stronger Body and Better Posture for Men and Women,sport,4.31,1,1,0,DK,224,239,199,16,718,17,Jan,2013,Dorling Kindersley Ltd,London,United Kingdom,English,"71,430",74.94
659,"The TB12 Method : How to Do What You Love, Better and for Longer",sport,3.54,0,1,0,Tom Brady,336,276,213,20,"1,166",27,Aug,2020,SIMON & SCHUSTER,New York,United States,English,"9,794",98.81
660,The Art of Resilience : Strategies for an Unbreakable Mind and Body,sport,4.36,1,1,0,Ross Edgley,320,234,153,33,570,04,Aug,2020,HarperCollins Publishers,London,United Kingdom,English,"70,496",84.30
661,Just Ride : A Radically Practical Guide to Riding Your Bike,sport,3.79,0,1,0,Grant Petersen,256,229,114,16,249.48,24,May,2012,Workman Publishing,New York,United States,English,"65,851",63.70
662,Two Years Before The Mast,sport,4,1,1,0,Richard Henry Dana,407,172,105,33.02,209,03,Jun,2010,Penguin Putnam Inc,New York,United States,English,"77,784",41.32
663,The Stormrider Surf Guide Europe,sport,4.56,1,1,0,Bruce Sutherland,400,280,220,21.08,"1,242.84",04,May,2015,Low Pressure Publishing Ltd,London,United Kingdom,English,"59,207",179.39
664,Power Golf,sport,3.98,0,1,0,Ben Hogan,224,210,133,14.22,162,17,Mar,2011,SIMON & SCHUSTER,New York,United States,English,"72,069",61.01
665,"The Women's Health Big Book of 15-Minute Workouts : A Leaner, Sexier, Healthier You--In 15 Minutes a Day!",sport,4.05,1,1,0,Selene Yeager,416,216,203,23,"1,009",25,Oct,2011,Rodale Incorporated,Pennsylvania,United States,English,"72,105",102.13
666,No Period. Now What? : A Guide to Regaining Your Cycles and Improving Your Fertility,sport,4.41,1,1,0,Nicola J Rinaldi,562,229,152,29,744,14,Apr,2016,Antica Press LLC,,,English,"77,636",100.61
667,The Golfer's Mind,sport,4.19,1,1,0,Dr. Bob Rotella,192,198,129,19,140,02,Apr,2007,Simon & Schuster,New York,United States,English,"72,444",44.86
668,The Well-Built Triathlete : Turning Potential into Performance,sport,4.34,1,1,0,Matt Dixon,368,234,187,25,907,29,May,2014,VeloPress,Boulder,United States,English,"72,667",103.61
669,"Bounce : Mozart, Federer, Picasso, Beckham, and the Science of Success",sport,4.07,1,1,0,Matthew Syed,336,201,132,23,249,03,May,2011,HarperCollins Publishers Inc,United States,United States,English,"72,467",62.33
670,The New Rules of Lifting : Six Basic Moves for Maximum Muscle,sport,4,1,1,0,Lou Schuler,320,235,191,17,556,10,Oct,2014,"Avery Publishing Group Inc.,U.S.",Wayne,United States,English,"72,810",65.83
671,Arabia : A Journey Through The Heart of the Middle East,sport,4.23,1,1,0,Levison Wood,368,198,132,26,280,11,Jul,2019,Hodder & Stoughton,London,United Kingdom,English,"57,292",43.13
672,Rugby Union For Dummies,sport,3.78,0,1,0,Nick Cain,408,235,185,23,716,06,Dec,2011,John Wiley & Sons Inc,New York,United States,English,"64,844",74.45
673,Bruce Lee -- Wisdom for the Way,sport,4.31,1,1,0,Bruce Lee,70,152,114,15,213,01,Oct,2009,BLACK BELT COMMUNICATIONS,Santa Clarita,CA,English,"73,048",69.74
674,Jonny: My Autobiography,sport,4.13,1,1,0,Jonny Wilkinson,368,197,131,25,286,10,May,2012,Headline Publishing Group,London,United Kingdom,English,"72,311",55.91
675,The Captain Class : The Hidden Force Behind the World's Greatest Teams,sport,4.02,1,1,0,Sam Walker,352,198,126,126,239,17,Apr,2018,Ebury Publishing,London,United Kingdom,English,"10,025",75.81
676,The Art of Mental Training : A Guide to Performance Excellence,sport,3.93,0,1,0,Dc Gonzalez,162,229,152,9,227,05,Nov,2013,Gonzolane Media,,,English,"69,211",63.11
677,Ask an Adventurer,sport,4.5,1,1,0,Alastair Humphreys,240,198,129,15,195,15,Aug,2021,Eye Books,Much Wenlock,United Kingdom,English,"52,277",54.27
678,Pickford (Ultimate Football Heroes - International Edition) - includes the World Cup Journey!,sport,4.6,1,1,0,Matt & Tom Oldfield,176,198,129,10,134,20,Sep,2018,John Blake Publishing Ltd,London,United Kingdom,English,"41,259",35.24
679,The Principles of Riding : Basic Training for Horse and Rider,sport,3.75,0,1,0,German National Equestrian Federation,284,240,170,19.05,703.07,14,Aug,2017,Quiller Publishing Ltd,Shrewsbury,United Kingdom,English,"35,729",87.93
680,The Eighty Dollar Champion,sport,4.21,1,1,0,Elizabeth Letts,416,196,130,34,280,15,May,2014,"Little, Brown Book Group",London,United Kingdom,English,"73,597",47.99
681,Rider Biomechanics : An Illustrated Guide: How to Sit Better and Gain Influence,sport,4.17,1,1,0,Mary Wanless,224,280,216,20,822,12,Jun,2017,Quiller Publishing Ltd,Shrewsbury,United Kingdom,English,"74,392",92.79
682,"Sea Kayak Navigation : A Practical Manual, Essential Knowledge for Finding Your Way at Sea",sport,4.16,1,1,0,Franco Ferrero,96,210,160,12,349,11,Nov,2007,Pesda Press,Bangor,United Kingdom,English,"73,891",66.06
683,At the Edge : Riding for My Life,sport,4.14,1,1,0,Danny MacAskill,288,198,129,18,226,01,Apr,2018,Penguin Books Ltd,London,United Kingdom,English,"82,044",64.10
684,The Boys of Summer,sport,4.12,1,1,0,Roger Kahn,512,202.69,134.62,24.89,408.23,09,May,2006,HarperCollins Publishers Inc,New York,NY,English,"88,211",65.62
685,100 Greatest Cycling Climbs of the Tour,sport,3.96,0,1,0,Simon Warren,240,160,110,17.78,250,22,May,2014,Frances Lincoln Publishers Ltd,London,United Kingdom,English,"73,124",49.45
686,Green Hills of Africa,sport,3.55,0,1,0,Ernest Hemingway,208,178,110,13,114,03,Nov,1994,Cornerstone,London,United Kingdom,English,"74,400",47.61
687,High Performance : Lessons from the Best on Becoming Your Best,sport,,0,1,0,Jake Humphrey,304,234,153,22,372,01,Jan,2022,Cornerstone,London,United Kingdom,English,"75,839",76.70
688,Winterdance: the Fine Madness of Running the Iditarod,sport,4.27,1,1,0,Gary Paulsen,256,235,152,27.94,431,01,Nov,2003,Cengage Learning EMEA,London,United Kingdom,English,"75,108",70.62
689,Walking,sport,3.82,0,1,0,Henry David Thoreau,100,216,140,6,136,28,Feb,2010,Watchmaker Publishing,[Street Seaside,OR],English,"74,600",32.81
690,Lanterne Rouge : The Last Man in the Tour de France,sport,3.67,0,1,0,Max Leonard,272,198,129,18,215,04,Jun,2015,Vintage Publishing,London,United Kingdom,English,"81,767",63.88
691,The Death of Marco Pantani : A Biography,sport,3.86,0,1,0,Matt Rendell,384,198,130,23,300,23,Feb,2016,Orion Publishing Co,London,United Kingdom,English,"74,621",51.33
692,In The Zone : How Champions Think and Win Big,sport,3.66,0,1,0,Clyde Brolin,320,198,129,19,223,01,Jan,2019,Bonnier Books Ltd,Chichester,United Kingdom,English,"74,937",44.08
693,BHS Complete Horsemanship: Volume 1,sport,4.15,1,1,0,The British Horse Society,192,246,189,17,624,21,Sep,2017,Quiller Publishing Ltd,Shrewsbury,United Kingdom,English,"14,088",86.30
694,River Monsters,sport,4.24,1,1,0,Jeremy Wade,320,196,128,32,320,11,Dec,2012,Orion Publishing Co,London,United Kingdom,English,"76,051",51.25
695,Faster Road Racing,sport,4.4,1,1,0,Peter Pfitzinger,280,178,254,15.49,585.13,10,Dec,2014,Human Kinetics Publishers,Champaign,IL,English,"76,433",83.36
696,Every Brilliant Thing,sport,4.56,1,1,0,Duncan Macmillan,64,210,130,4,90.72,08,Sep,2015,Bloomsbury Publishing PLC,New York,United Kingdom,English,"15,784",65.87
